ingredient,scientific_name,description,who_should_avoid,category,strength
Alpha-Glucan Oligosaccharide,,"Prebiotics offer benefits such as:

- Help maintain a balanced and healthy skin microbiome by promoting the growth of beneficial bacteria.

- Support the skin's natural defences against harmful microorganisms, contributing to overall skin health.

- Enhance the skin's barrier function, reducing moisture loss and improving hydration.

- Can have a calming effect on the skin, helping to soothe and alleviate inflammation and irritation.","[' ', 'Related Allergy']",,
Aloe Vera,,"Aloe vera offers multiple benefits for the skin. It helps to soothe and calm irritated or sunburned skin, reducing redness and discomfort. Aloe vera also provides hydration and moisture, promoting a plump and healthy-looking complexion. Additionally, it contains antioxidants that help protect the skin against environmental damage and premature aging.","[' ', 'Related Allergy']",,
Allantoin,,"Allantoin is a calming, anti-inflammatory, and hydrating ingredient which promotes wound healing by stimulating fibroblasts in the dermis.","[' ', 'Related Allergy']",,
Algin,,"In skincare products, it is used for its excellent water-binding properties to impart hydration and plumpness to the skin. In cosmetic product formulation, it is used as a thickening agent to improve the texture and viscosity of formulations.","[' ', 'Related Allergy']",,
Algae Extract,,"Algae extracts are multifunctional ingredients, providing hydrating, soothing, and antioxidant benefits. They also act as thickening and water-binding agents in formulations.","[' ', 'Related Allergy']",,
Algae Exopolysaccharides,,"In skincare, they are are used to protect from external stressors such as UV and free radicals, as well as provide hydration due to their humectant structure.","[' ', 'Related Allergy']",,
Alaria Esculenta Extract,,"Provides soothing, hydrating, firming and antioxidant benefits.","[' ', 'Related Allergy']",,
Alanine,,It can help to support water transport between skin cells to keep our surface smooth and hydrated.,"[' ', 'Related Allergy']",,
Ahnfeltia Concinna Extract,,"Provides soothing and antioxidant products to the skin, and increases the viscosity of formulations.","[' ', 'Related Allergy']",,
Adenosine,,"Provides soothing and skin-restoring properties, and studies indicate potential for anti-ageing and wrinkle improvement.","[' ', 'Related Allergy']",,
Acetyl Tyrosinamide,,Acetyl Tyrosinamide is used in skincare to treat fine lines and wrinkles and support the skin's elasticity.,"[' ', 'Related Allergy']",,
Acetyl Tetrapeptide,,"Acetyl Tetrapeptide is used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Related Allergy']",,
Acetyl Glucosamine,,"Acetyl Glucosamine is used in skincare to treat red and sensitive skin with hyperpigmentation, and for those who are looking to treat fine lines and wrinkles.","[' ', 'Related Allergy']",,
Acetylarginyltryptophyl Diphenylglycine,,"Acetylarginyltryptophyl Diphenylglycine  is used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Related Allergy']",,
Acai Extract,,"Provide antioxidant benefits to the skin, fighting free radical damage and preventing premature ageing from the damage.","[' ', 'Related Allergy']",,
Ascorbic Acid,,"Ascorbic acid is a powerhouse ingredient with evidence for collagen synthesis so can help make the skin firmer, helps with hyperpigmentation, dark spots, and uneven skin tone and is great for preventing damage from the sun by neutralising free radicals.

Since ascorbic acid is already in the active form needed by the skin, no conversion is necessary, and if stabilised is highly potent.","[' ', 'Related Allergy', ' ', 'Sensitive', ' ', 'Dry Dehydrated', ' ', 'Impaired skin barrier']",,
Ascophyllum Nodosum Extract,,Can help attract water to the upper layer of the skin and might have some antioxidant effect,"[' ', 'Related Allergy']",,
Arginine PCA,,"Helps to protect the skin from free radicals, improve the appearance of hydration, and support collagen production.","[' ', 'Related Allergy']",,
Arginine/Lysine Polypeptide,,Helps to preserve the skins natural collagen and elastin by offsetting substances within skin that cause both to degrade over time.,"[' ', 'Related Allergy']",,
Arginine HCL,,"Helps to protect the skin from free radicals, improve the appearance of hydration, and support collagen production.","[' ', 'Related Allergy']",,
Arginine,,"Great for dry and Dehydrated skin, Arginine is an antioxidant with helps smooth the surface of our skin and treats fine lines.","[' ', 'Related Allergy']",,
Argan Oil,,"Argan oil offers multiple benefits for the skin. It helps to moisturise and soften the skin, protect the skin against environmental damage and soothes and calms the skin.","[' ', 'Related Allergy', ' ', 'Oily']",,
Arbutin,,"Arbutin offers multiple benefits for the skin. It is known for its skin-lightening properties, as it can inhibit the enzyme involved in melanin production, thereby helping to reduce the appearance of dark spots, hyperpigmentation, and uneven skin tone. Arbutin can also contribute to a more radiant and luminous complexion.","[' ', 'Pregnancy']",,
Aquagenium,,"The complex claims to:
- Aims to increase the water retention capacity of the skin.
- Strengthens the skin's moisture barrier and prevent dehydration.
- May also support the skin's water circulation mechanisms which could increase water balance in the skin","[' ', 'Related Allergy']",,
Apple Stem Cells,,"Apple stem cells offer potential benefits for the skin: 
- Believed to have anti-aging properties and may help stimulate the renewal and vitality of skin cells. 
- Protect against environmental stressors, and enhance the skin's natural defense mechanisms. 
- May contribute to improved skin texture and a more youthful appearance.","[' ', 'Related Allergy']",,
,Euterpe Oleracea Fruit Extract,,[],,
Apple Polyphenols,,"Apple polyphenols offer multiple benefits for the skin:

- Possess potent antioxidant properties, helping to neutralize  free radicals and prevent oxidative stress.
- Have anti-inflammatory effects, which can soothe and calm the skin, reducing redness and irritation.
- Assist in promoting a more even skin tone and enhancing the overall radiance of the complexion.","[' ', 'Related Allergy']",,
Apple Extract,,"Apple extract offers multiple benefits for the skin:
- Provides antioxidant protection, helping to neutralize free radicals and prevent oxidative damage. 
- Nourish and revitalize the skin, promoting a healthier and more youthful appearance.
- Help in improving hydration and enhancing the overall condition of the skin.","[' ', 'Related Allergy']",,
Anti-Ageing Peptides,,"They can help stimulate collagen production, improving skin elasticity and reducing the appearance of fine lines and wrinkles, promote skin firmness and smoothness, enhance overall texture and tone, and protect against environmental damage.","[' ', 'Related Allergy']",,
Amino Acids,,"Amino acids provide numerous benefits for the skin. They help to support collagen synthesis, promoting skin elasticity and firmness. Amino acids also assist in maintaining the skin's natural moisture barrier, improving hydration levels and preventing moisture loss. Additionally, they aid in skin repair processes, assisting with cell turnover and rejuvenation.","[' ', 'Related Allergy']",,
Alteromonas Ferment Extract,,"In skincare products, it is used for its excellent water-binding properties to impart hydration and plumpness to the skin. In cosmetic product formulation, it is used as a thickening agent to improve the texture and viscosity of formulations.","[' ', 'Related Allergy']",,
Bifida Ferment Lysate,,"Probiotics offer benefits such as:
- Help maintain a balanced and healthy skin microbiome by supporting the growth of beneficial bacteria.

- Strengthen the skin's natural defense against harmful bacteria, reducing the risk of skin issues like acne and inflammation.

- Enhance the skin's barrier function, improving its resilience and protection against environmental stressors.

- Have soothing properties, helping to calm and alleviate skin irritation and redness.","[' ', 'Related Allergy']",,
Beta Glucan,,"Beta glucan offers multiple benefits to the skin. It has excellent hydrating properties, improves skin barrier function and is able to reduce the appearance of redness and inflammation.","[' ', 'Related Allergy']",,
Bakuchiol,,Bakuchiol is thought to offer multiple benefits. It can improve skin firmness and treat fine lines whilst it also has antioxidant benefits to prevent from free radical damage.,"[' ', 'Related Allergy']",,
Azelaoyl Bis-Dipeptide,,"Azelaoyl Bis-dipeptide is used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Related Allergy', ' ', 'Gluten Allery']",,
Azelaic Acid,,"Azelaic acid has antibacterial properties making it a good supplementary ingredient in the treatment of acne. It has anti-inflammatory properties making it a very effective treatment for rosacea, redness, and acne inflammation, and It has mild exfoliating properties and interferes with the melanin production process in the skin making it an effective ingredient for brightening and evening out the skin.","[' ', 'Gluten Allery']",,
Avocado Oil,,"Avocado oil moisturises and nourishes the skin, protects against damage and free radicals and calms irritated skin.","[' ', 'Related Allergy', ' ', 'Oily']",,
Avocado Ferment,,"Avocado ferment is rich in vitamins, minerals, and fatty acids, which help nourish and moisturize the skin. It contains antioxidants that can protect the skin against environmental damage and it also improves the skin's texture, leaving it feeling soft, supple, and revitalised.","[' ', 'Related Allergy']",,
Avene Thermal Water,,"Avène Thermal Water offers multiple benefits including immediate soothing and calming of any skin irritation, redness and sensitivity.
It can reinforce the skin barrier and promotes wound healing.","[' ', 'Related Allergy']",,
Asparagopsis Armata Extract,,"It's an antioxidant that protects, soothes and hydrates. It has great anti-ageing properties.","[' ', 'Related Allergy']",,
Ascorbyl Palmitate,,It is used in skin products to smooth and improve the health of the skin.,"[' ', 'Related Allergy', ' ', 'Impaired skin barrier']",,
Ascorbyl Glucoside,,It is used in skin care to brighten the skin and improve the signs of aging.,"[' ', 'Related Allergy', ' ', 'Impaired skin barrier']",,
Caffeine,,"Caffeine energizes the skin and helps reduce the appearance of fatigue or tiredness. It provides a temporary tightening effect, improving the appearance of sagging or loose skin. It may help reduce the appearance of puffiness or swelling, particularly around the eyes. It even offers potential antioxidant benefits, protecting the skin against free radicals and environmental stressors.","[' ', 'Related Allergy']",,
Caffeic Acid,,"Caffeic acid provides antioxidant protection, helping to neutralize free radicals and prevent oxidative damage to the skin. It calms redness and irritation and may contribute to skin brightening and evening out the complexion by potentially inhibiting the production of melanin.","[' ', 'Related Allergy']",,
Cabbage Leaf Extract,,"Cabbage leaf extract provides antioxidant protection, helping to neutralize free radicals and protect the skin from environmental damage.
- Offers potential soothing and calming effects on the skin, reducing redness and inflammation.
- Contains vitamins and minerals that can nourish and hydrate the skin, promoting a healthy complexion.
- May contribute to skin conditioning, leaving the skin feeling soft, smooth, and refreshed.","[' ', 'Related Allergy']",,
Butyl Methoxydibenzoylmethane,,"Butyl Methoxydibenzoylmethane protects against the entire UVA range, 310-400 nm, making it a great ingredient to work in combination with other, more widely available, UVB filters. The problem with this is that is degrades very quickly in the presence of sunlight, and part of the reason for the guidance to reapply sunscreen every 2 hours.","[' ', 'Pregnancy', ' ', 'Sensitive']",,
Blue Mallow Extract,,"Blue mallow extract offers multiple benefits including:


- Offers hydrating properties, helping to moisturize and soften the skin.


- Prevents and treats free radical damage from pollution and the sun","[' ', 'Related Allergy']",,
Blue Lotus Extract,,"Blue lotus extract provides antioxidant protection, helping to combat free radicals and protect the skin from environmental damage.

It has soothing and calming effects, reducing skin redness, irritation, and inflammation, whilst it offers moisturising properties, helping to hydrate and nourish the skin. It may contribute to a more even skin tone and promote a radiant complexion.","[' ', 'Related Allergy']",,
Blueberry Extract,,"Blueberry extract provides powerful antioxidant protection, helping to neutralize free radicals and protect the skin from environmental damage.

It enhances the overall health and appearance of the skin, contributing to a radiant and youthful complexion and can help soothe and calm the skin, reducing redness.","[' ', 'Related Allergy']",,
Bilberry Extract,,"Bilberry extract provides antioxidant protection, helping to combat free radicals and environmental damage. It contains natural acids that may contribute to gentle exfoliation, promoting a smoother complexion, and potentially offers soothing and anti-inflammatory effects, reducing redness and irritation.","[' ', 'Related Allergy']",,
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,,"Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine works by absorbing UVB light in the outer layers of the epidermis, then converting it into heat (to neutralise the energy which can lead to cell damage), and scattering it away from the body.

It is very photostable, so does not degrade in the presence of sunlight, unlike some other UV filters on the market. It has also been shown to improve the UV stability of other more sensitive filters, when used in combination.

Everyone, especially darker skinned individuals looking for dark skin friendly sun protection.","[' ', 'Pregnancy', ' ', 'Sensitive']",,
Bisabolol,,"Bisabolol is a multifunctional ingredients that soothes and calms the skin, reducing redness, inflammation, and irritation. It enhances the skin's natural healing process, promoting skin repair and regeneration, helps to improve the penetration of other skincare ingredients, boosting their effectiveness and provides moisturising and skin-conditioning properties, leaving the skin feeling soft and smooth.","[' ', 'Related Allergy']",,
Bio-Active Glucosides,,"Bio-active glucosides improve the efficacy and stability of bioactive ingredients in skincare products. It can enhance the delivery and penetration of active compounds into the skin. Bio-active glucosides provide targeted benefits such as antioxidant, anti-inflammatory, or brightening effects depending on the specific bioactive compound.","[' ', 'Related Allergy']",,
Chondrus Crispus,,Helps to moisturise the skin with some benefits including the treatment of wrinkles and fine lines.,"[' ', 'Related Allergy']",,
Cholesterol,,"Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving its ability to retain moisture and nutrients.
- Support skin cell cohesion, promoting a smooth and even skin texture.
- Protect the skin from external irritants, pollutants, and allergens.
- Contribute to the skin's resilience and overall health, helping to prevent dryness and sensitivity.","[' ', 'Related Allergy']",,
Chlorophyll,,"Chlorophyll offers benefits such as:
- Provides potential antioxidant benefits, helping to neutralize free radicals and protect the skin from oxidative stress.
- May contribute to skin soothing and calming effects, reducing redness and irritation.","[' ', 'Related Allergy']",,
Chlorella Vulgaris Extract,,"Chlorella vulgaris extract has been shown to stimulate collagen synthesis/production.  Collagen is responsible for the strength, elasticity, smoothness and plump appearance of healthy skin.","[' ', 'Related Allergy']",,
Chamomile Extract,,"Chamomile extract provides soothing and calming effects on the skin, reducing redness, irritation, and inflammation. It exhibits potential antioxidant properties, helping to neutralize free radicals and protect the skin from environmental damage and can help promote a more even complexion and brighten the skin tone.","[' ', 'Related Allergy']",,
Chlorella Protothecoides Oil,,"In skin care products, Chlorella vulgaris extract has been shown to stimulate collagen synthesis. Collagen is responsible for the strength, elasticity, smoothness and plump appearance of healthy skin.","[' ', 'Related Allergy']",,
Ceramides,,"Ceramides help strengthen the skin's barrier, improving its ability to retain moisture and keep irritants out. They support the skin's natural repair and regeneration processes and contribute to a smoother, softer, and more supple skin texture. They can also help soothe and calm dry, irritated, or sensitive skin.","[' ', 'Related Allergy']",,
Chlorella Protothecoides,,Softens and smoothes the skin whilst the antioxidants help to avoid the harmful effects of external factors on the skin,"[' ', 'Related Allergy']",,
Chemical UV Filters,,"Chemical UV filters offer benefits such as:
- Provide broad-spectrum protection against both UVA and UVB rays, safeguarding the skin from sunburn, premature aging, and skin cancer.
- Offer a lightweight and transparent texture, making them suitable for various sunscreen formulations.
- Help to prevent the breakdown of collagen and elastin in the skin caused by UV exposure, preserving skin elasticity and firmness.
- Easily blend into the skin, reducing the appearance of white cast commonly associated with some mineral UV filters.","[' ', 'Related Allergy', ' ', 'Pregnancy']",,
Caprooyl Sphingosine,,"Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving its ability to retain moisture and nutrients.
- Support skin cell cohesion, promoting a smooth and even skin texture.
- Protect the skin from external irritants, pollutants, and allergens.
- Contribute to the skin's resilience and overall health, helping to prevent dryness and sensitivity.","[' ', 'Related Allergy']",,
Centella Asiatica,,"It supports wound healing as well as providing anti-ageing benefits. It has also been shown to stimulate the production of hyaluronic acid in the skin, another molecule whose production slows with age, but is essential for keeping skin looking hydrated, plump & youthful.

Centella Asiatica (or Gotu Kola or Tiger grass) is a family of ingredients. It can also be known as asiatic acid, asiaticoside, madecassic acid and madecassoside.","[' ', 'Related Allergy']",,
Carnosine,,"Carnosine offers antioxidant benefits to protects from damage to the skin. It can help prevent or minimise the formation of advanced glycation end products (AGEs), which contribute to skin aging. It also supports the skin's natural repair processes, promoting a healthier and more youthful appearance and offers potential skin-conditioning benefits, contributing to improved texture and hydration.","[' ', 'Related Allergy']",,
Caprooyl Phytosphingosine,,"Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving its ability to retain moisture and nutrients.
- Support skin cell cohesion, promoting a smooth and even skin texture.
- Protect the skin from external irritants, pollutants, and allergens.
- Contribute to the skin's resilience and overall health, helping to prevent dryness and sensitivity.","[' ', 'Related Allergy']",,
Ectoin,,"Ectoin offers benefits such as:
- Provides exceptional hydration, helping to lock in moisture and prevent water loss from the skin.
- Exhibits potent anti-inflammatory effects, assisting in soothing and calming irritated or sensitive skin.
- Offers protective properties against environmental stressors, such as UV radiation and pollution.
- Can enhance the skin's resilience and barrier function, promoting a healthier and more balanced complexion.","[' ', 'Related Allergy']",,
Dunaliella Salina (Green Algae) Extract,,"It is a great anti-inflammatory, and anti aging active ingredient.","[' ', 'Related Allergy']",,
Dioic Acid,,"Dioic acid offers benefits such as:
- Helps regulate sebum production, making it beneficial for individuals with oily or acne-prone skin.
- Assists in reducing the appearance of enlarged pores, contributing to a smoother skin texture.
- Offers potential anti-inflammatory effects, helping to calm redness and irritation associated with acne.
- May improve overall skin clarity and tone, promoting a more even complexion.","[' ', 'Related Allergy']",,
Cucumber Extract,,"Cucumber extract offers benefits such as:
- Provides excellent hydration, helping to moisturize and refresh the skin.
- Offers soothing and calming effects, making it beneficial for irritated or sensitive skin.
- Contains antioxidant properties, assisting in neutralizing free radicals and protecting the skin from environmental damage.
- Can improve the skin's overall texture, leaving it feeling soft and supple.","[' ', 'Related Allergy']",,
Dipeptide Diaminobutyroyl Benzylamide Diacetate,,"Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Related Allergy']",,
Dipeptide,,"Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Related Allergy']",,
Copper Peptide,,"Copper peptide offers benefits such as:
- Supports skin rejuvenation and anti-aging efforts by promoting collagen production and increasing skin elasticity.
- Provides antioxidant benefits, helping to protect the skin from free radicals and oxidative damage.
- Assists in wound healing and tissue repair, making it beneficial for post-inflammatory hyperpigmentation and scar reduction.
- Can enhance the skin's overall texture and tone, promoting a smoother and more youthful appearance.","[' ', 'Related Allergy']",,
Copper Palmitoyl Heptapeptide,,"Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Related Allergy']",,
Copper Heptapeptide-14 Pantothenate,,"Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Related Allergy']",,
Coffee Seed Extract,,"Coffee seed extract offers benefits such as:
- Provides antioxidant protection, helping to neutralize free radicals and reduce oxidative stress on the skin.
- Exhibits potential anti-inflammatory effects, assisting in soothing and calming the skin.
- Contains caffeine, which may help improve circulation and temporarily reduce the appearance of puffiness.
- Offers potential skin-energizing benefits, contributing to a refreshed and awakened complexion.","[' ', 'Related Allergy']",,
Citric Acid,,"Citric acid offers benefits such as:
- At higher concentrations, it provides exfoliating benefits, helping to remove dead skin cells and promote a smoother, more radiant complexion.
- Assists in adjusting the pH level of skincare products, ensuring their effectiveness and compatibility with the skin's natural pH.","[' ', 'Related Allergy']",,
Cinnamon Bark,,"Cinnamon bark extract offers benefits such as:
- Provides antioxidant benefits, helping to neutralize free radicals and protect the skin from oxidative damage.
- Exhibits potential antimicrobial properties
- May offer soothing effects, helping to reduce redness and irritation.","[' ', 'Related Allergy']",,
Fomes Of?cinalis (Mushroom) Extract,,"It helps even your skins tone and firmness, and it drastically helps to clear pores and minimise the visible appearance of skin suffering from excess sebum secretion.","[' ', 'Related Allergy']",,
Ginkgo Biloba,,"Ginkgo biloba offers benefits such as:
- Provides antioxidant benefits, helping to neutralize free radicals and reduce oxidative stress on the skin.
- Exhibits potential anti-inflammatory effects, assisting in calming redness and irritation.
- Supports the skin's natural defense against environmental stressors, such as UV radiation and pollution.
- May help improve overall skin tone and texture, promoting a more radiant complexion.","[' ', 'Related Allergy']",,
Fructooligosaccharides,,"Prebiotics offer benefits such as:
- Help maintain a balanced and healthy skin microbiome by promoting the growth of beneficial bacteria.
- Support the skin's natural defenses against harmful microorganisms, contributing to overall skin health.
- Enhance the skin's barrier function, reducing moisture loss and improving hydration.
- Can have a calming effect on the skin, helping to soothe and alleviate inflammation and irritation.","[' ', 'Related Allergy']",,
Feverfew Extract,,"Feverfew extract offers benefits such as:
- Exhibits potential anti-inflammatory effects, helping to calm redness and irritation on the skin.
- Assists in soothing sensitive or reactive skin, making it beneficial for those with skin conditions like rosacea or eczema.
- Provides antioxidant benefits, helping to neutralize free radicals and protect the skin from environmental damage.
- Can enhance the overall appearance of the skin, promoting a more even and balanced complexion.","[' ', 'Related Allergy']",,
Ferulic Acid,,"Ferulic acid offers benefits such as:
- Provides powerful antioxidant benefits, helping to neutralize free radicals and reduce oxidative stress on the skin.
- Enhances the stability and effectiveness of other antioxidants, maximizing their protective capabilities.
- May help protect the skin from UV-induced damage, although it is not a substitute for sunscreen.
- Assists in promoting a more even skin tone and reducing the appearance of hyperpigmentation.","[' ', 'Related Allergy']",,
Ethylhexyl Triazone,,"Ethylhexyl Triazone offers SPF protection via absorbing UVB light in the outer layers of the epidermis, then converting it into heat (to neutralise the energy which can lead to cell damage), and scattering it away from the body. It is an oil soluble, odourless and colourless powder that works well in fragrance-free formulations.","[' ', 'Pregnancy', ' ', 'Sensitive']",,
Ferric Hexapeptide,,"Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Related Allergy']",,
Fernblock,,"FernBlock offers benefits such as:
- Provides antioxidant benefits, helping to neutralize free radicals and reduce oxidative stress on the skin.
- Thought to support hyaluronic acid production in the skin, assisting in promoting plump skin and smoothing fine lines.","[' ', 'Related Allergy']",,
Evening Primrose Oil,,"Evening primrose oil offers benefits such as:
- Provides excellent moisturization, helping to nourish and hydrate the skin.
- Exhibits potential anti-inflammatory effects, assisting in calming redness and irritation.
- Supports the skin's natural barrier function, promoting a smoother and more supple complexion.
- Can be beneficial for skin conditions like eczema and dermatitis due to its hydrating and soothing properties.","[' ', 'Related Allergy']",,
Essential Lipids,,"Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving its ability to retain moisture and nutrients.
- Support skin cell cohesion, promoting a smooth and even skin texture.
- Protect the skin from external irritants, pollutants, and allergens.
- Contribute to the skin's resilience and overall health, helping to prevent dryness and sensitivity.","[' ', 'Related Allergy']",,
Endothelyol,,"Endothelyol offers benefits such as:
- Reduces Redness: Endothelyol helps to visibly reduce redness and inflammation in the skin, making it ideal for individuals with sensitive or reactive skin types.
- Anti-Inflammatory: It possesses potent anti-inflammatory properties, helping to soothe and calm irritated skin, minimizing discomfort and sensitivity.","[' ', 'Related Allergy']",,
Ethylhexyl Salicylate,,"Ethylhexyl Salicylate protects against UVB rays (280-320 nm) with a peak absorbance at 306 nm. It's not a strong filter in itself, it's always used in combination with other sunscreen agents to further enhance the SPF and to solubilise other solid UV filters.","[' ', 'Pregnancy', ' ', 'Sensitive']",,
Ethyl Ascorbic Acid,,"It is used in skincare to brighten, treat wrinkles, firm the skin, fade hyperpigmentation and offset numerous triggers of environmental damage.","[' ', 'Related Allergy', ' ', 'Impaired skin barrier']",,
Green Tea,,"Green tea  offers benefits such as:
- Provides potent antioxidant benefits, helping to neutralize free radicals and protect the skin from oxidative damage.
- Exhibits potential anti-inflammatory effects, assisting in calming redness and irritation on the skin.
- Can help soothe and alleviate skin conditions like acne and rosacea.
- Supports overall skin health and can contribute to a more radiant and even complexion.","[' ', 'Related Allergy']",,
